text,type,label,tag_a,tag_b
我们需要额外购买证书框或相册吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
除了证书，有没有什么奖牌、奖杯之类的纪念品？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
这个证书可以用于评优或者写入成长档案吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
老师也有指导证书吗？我们需要额外申请吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
在报名还来得及吗？名额剩几个了？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
截止到几点报名？我今天交钱能不能算上？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
能不能帮我先预留一个名额？我马上转账。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
那个特惠价的名额还有吗？我现在定能不能申请下来？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我们想报的那个时间段满员了吗？能不能加塞一个？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
具体的集合时间和地点发我一下？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
需要我们要自备什么东西吗？比如笔或者水杯？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
活动当天的流程表定了吗？能提前发给我看看吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
家长需要全程陪同吗，还是送到就可以走了？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
中午管饭吗？如果有忌口怎么跟老师说？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
活动大概几点结束？我们需要提前多久来接？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我们家孩子年龄最小，老师能不能多照顾一下？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
能不能让他跟他的同学分在一组？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
现在报名能不能指定哪位老师带队？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
是扫码付给你，还是直接在系统上交？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我怎么确认报名成功了？会有短信通知吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
需要填什么报名表或者提供身份证号买保险吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
能开发票吗？抬头写个人还是公司？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
定金先交多少？尾款什么时候付清？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
费用里除了报名费，还需要再交其他钱吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
如果到时候孩子生病来不了，费用能全额退吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
两个人一起报名，优惠是直接在总价里扣吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名送的那个大礼包是当天领还是课后领？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
这个费用包含往返交通费吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问这次活动具体是什么时间呀？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想了解一下活动开始和结束的时间。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
麻烦问一下，活动是哪天开始呢？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问活动一共持续几天？每天几点到几点？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想知道活动的具体安排时间。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问报名后，什么时候开始参加活动？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
麻烦告知一下活动的准确时间可以吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想咨询一下本次活动的时间安排。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问活动是上午还是下午，几点开始？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想问问活动日期定在什么时候？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问活动有没有固定的时间段？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
麻烦问下活动开始时间和截止时间。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想了解一下活动是全天还是只有半天？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问活动具体在几月几日举行？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想知道活动每天的上课 / 参与时间。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问活动时间可以发我一下吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
麻烦告知一下活动的详细时间安排。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想咨询活动是周末还是工作日进行？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问活动开始后，每天几点到几点？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想问问最晚什么时候可以参加活动？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问活动时间有没有调整？最新时间是？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
麻烦问一下活动总共多长时间？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想了解一下活动的具体时段。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问活动是早上几点开始，几点结束？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想知道活动日期和具体时间。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
麻烦发一下本次活动的时间安排表。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问活动是固定时间还是可以自选？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想咨询一下活动开始的具体时间。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问活动什么时候开始，什么时候截止报名？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
麻烦问下，活动时间确定了吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后孩子能享受到哪些权益？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问报名这个活动有什么福利吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想了解一下报名成功后有哪些专属权益。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后具体包含哪些服务内容？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
现在报名有什么特别的优惠或权益吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问报名后都包含哪些学习资源？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想知道报名成功后能获得什么？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名这个活动，孩子能得到哪些支持？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后有哪些增值服务？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问报名权益具体有哪些？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
现在报名和不报名有什么区别？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后有没有专属指导或辅导？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想了解报名后的权益详情。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后会提供哪些配套服务？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问报名后有课程礼包或资料吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名成功后有哪些特权？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想问问报名后能享受什么服务？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后有没有额外的福利赠送？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后老师会提供哪些帮助？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问报名权益是长期有效吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后可以享受哪些优先服务？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想知道报名后具体包含哪些内容。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
现在报名有什么专属福利吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后孩子能参与哪些特色活动？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问报名后权益怎么使用？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想了解报名后的完整权益清单。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后有没有一对一指导？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名成功后有什么特别待遇？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问报名后包含哪些学习保障？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想确认一下报名后具体能享受到什么。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问这次活动具体在什么地方举办？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想了解一下活动的详细地址。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
麻烦问一下活动地点在哪里？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
活动是线上还是线下？线下地址是哪里？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问活动是在室内还是室外？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想知道活动的具体位置。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
活动地点确定了吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
麻烦告知一下活动举办的地址。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问可以发一下活动定位吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
孩子参加活动要去哪个场地？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
活动在哪个城市、哪个区举办？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
想问问活动场地的具体名称。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问现在还能报名吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问这个活动怎么报名？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名链接或二维码能发我吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
请问这次活动都有什么题型？,诗词,1,(总)复选已晋级,
想了解一下活动的考试题型。,诗词,1,(总)复选已晋级,
麻烦问下活动题目类型有哪些？,诗词,1,(总)复选已晋级,
活动是选择题还是问答题？,诗词,1,(总)复选已晋级,
请问题目难度大概是什么水平？,诗词,1,(总)复选已晋级,
想知道有没有填空、判断类题目？,诗词,1,(总)复选已晋级,
活动题型和平时一样吗？,诗词,1,(总)复选已晋级,
题型会不会提前公布？,诗词,1,(总)复选已晋级,
孩子需要重点准备哪类题型？,诗词,1,(总)复选已晋级,
题型是统一的还是分年级？,诗词,1,(总)复选已晋级,
想了解具体的题目形式。,诗词,1,(总)复选已晋级,
题目是单选还是多选？,诗词,1,(总)复选已晋级,
活动有没有限时答题？,诗词,1,(总)复选已晋级,
请问题目是课内还是课外？,诗词,1,(总)复选已晋级,
想确认一下活动的题型范围。,诗词,1,(总)复选已晋级,
想问问有没有示例题型可以参考？,诗词,1,(总)复选已晋级,
一共有几种题型？,诗词,1,(总)复选已晋级,
什么时候报名截止,诗词,1,(总)复选已晋级,
有题库吗,诗词,1,(总)复选已晋级,
证书是电子版还是纸质版？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
纸质版证书如何购买？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书及奖牌购买价格是多少？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书购买后多久能收到？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书是邮寄到学校还是到家？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书名字写错了，如何修改？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书没有收到，怎么处理？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
证书或奖牌有损坏，是否可以补发？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
参加后对孩子未来学习、升学有没有帮助？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
晋级后还有后续的比拼环节吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
晋级后的报名是收费的吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
孩子获得的荣誉证书，对以后的升学、评优有帮助吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我能介绍其他人，可以给我优惠吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
活动报名费多少？有没有额外收费？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
费用包含哪些内容，是否透明无隐形消费？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
因故无法参加能否退费？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
退费规则是什么？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
城市擂台赛的时间，和地点？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
城市擂台赛的范围？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
城市擂台地点附近好停车吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
孩子怎么报名、怎么参赛？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
城市擂台赛线上还是线下？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
已有平台的svip、vip会员，我可以不可以不需要会员包含的内容，价格上再优惠一些？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
城市擂台赛有服装或妆造的要求吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
去城市擂台赛有专人接送吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
如何去到城市擂台赛的活动现场？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
现场答题需要自带设备吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
去城市擂台赛需要准备什么东西？证明身份,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
城市擂台赛一般需要多久到现场就可以？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
城市擂台赛提前到了可以提前参与吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
城市擂台有媒体直播吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
城市擂台赛的城市是在哪里？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
可以修改城市擂台的时间吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
城市擂台赛没有选择上时间怎么处理？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
活动邀请的专家、名师是否会与所有参赛孩子互动？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
活动邀请的专家、名师与孩子互动形式是什么？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后的权益都包含哪些？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
已经报名后相关的课程在哪里？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名的权益课程有效期是多久？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后权益多长时间到账？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
已有会员的话，报名这个活动权益是否冲突？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名这个活动的话，会有相关老师指导吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我和孩子爸爸在商量下。,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我和家里人在商量一下,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
那行，我考虑下,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
你们价格有点贵，能便宜点我就报名,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
孩子可以自己去现场吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
家里老人带着孩子去现场，不会操作手机怎么办？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
去早了可以先开始吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
我不想要名师指导，直接参加活动，可以便宜一些吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
购买的诗词会员，在哪里可以练习？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名后除了app上的题库，还有其他题库可以提供吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
活动现场会有往届的真题吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
今年的指导老师都有谁呀？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名的小朋友都可以得到指导老师的指导吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
怎么能保证不同年级的小朋友都可以听得懂呢？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
指导课的形式是什么？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
指导课的入口在哪里？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名相关权益课程有效期是多久？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名城市擂台后，能享受哪些福利与支持？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
城市擂台报名成功后，有哪些专属好处？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名截止已过，我现在想报名可以吗?,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名已截止，我现在报名还来得及吗,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
若报名后，孩子因为生病、考试等原因无法参赛，报名费能全额退还吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
跨地区报名的孩子，后续线下展演需要到指定城市，出口成章会提供交通、住宿的参考建议吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
指导老师是固定的还是随机分配的？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
参赛孩子的诗词诵读作品，会有专家点评吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名费用是一次性缴纳吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
报名通道关闭后，若有特殊情况（如错过报名时间），能申请补报吗？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
线下活动的具体时间安排是怎样的？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
线下活动的场地在哪里？具体地址是什么？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
线下活动的参与费用是多少？包含哪些内容？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
线下活动的报名截止时间是什么时候？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
线下活动的场地交通如何？有哪些公共交通可以到达？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
线下活动是否提供住宿安排？费用如何？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
线下活动的场地是否有停车场？收费标准是什么？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
线下活动的场地是否有餐饮设施？,诗词、讲好中国故事,1,(总)复选已晋级,预选赛晋级(总)
